SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Sydney - Haymarket - The Rocks,27408,1084,70,1154,0.042104495037945125,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.035190711011577586
Gordon - Killara,21328,783,105,888,0.041635408852213056,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.035659797197309655
Mulgoa - Luddenham - Orchard Hills,9541,340,56,396,0.041505083324599096,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.035790122724923615
Kingsford,15602,574,64,638,0.040892193308550186,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.036403012740972525
Concord - Mortlake - Cabarita,21742,729,142,871,0.04006071198601784,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.03723449406350487
Neutral Bay - Kirribilli,17852,610,73,683,0.03825901859735604,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.03903618745216667
Turramurra,19267,625,105,730,0.03788861784398194,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.03940658820554077
Marrickville,26540,848,152,1000,0.037678975131876416,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.039616230917646295
Putney,4143,108,47,155,0.03741250301713734,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.03988270303238537
St Ives,20456,650,110,760,0.037152913570590536,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.040142292478932175
Monterey - Brighton-le-Sands - Kyeemagh,13972,452,63,515,0.036859433152018325,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.040435772897504385
Yagoona - Birrong,20706,661,83,744,0.035931614024920316,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.041363592024602394
Haberfield - Summer Hill,13474,417,65,482,0.03577259907970907,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.04152260696981364
Lindfield - Roseville,23147,701,122,823,0.035555363546031886,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.041739842503490825
Randwick - South,13113,368,88,456,0.034774651109585906,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.042520554939936804
Glenhaven,6253,170,42,212,0.03390372621141852,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.043391479838104194
Panania - Milperra - Picnic Point,25788,738,130,868,0.033659066232356136,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.043636139817166575
Ashcroft - Busby - Miller,17335,473,101,574,0.03311220074992789,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.04418300529959482
Sydenham - Tempe - St Peters,7840,200,59,259,0.033035714285714286,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.044259491763808424
Dulwich Hill - Lewisham,16809,436,108,544,0.032363614730204056,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.044931591319318655
Gladesville - Huntleys Point,14409,372,86,458,0.0317856894996183,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.045509516549904414
Dural - Kenthurst - Wisemans Ferry,21019,535,109,644,0.03063894571578096,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.04665626033374175
Redfern - Chippendale,22495,588,94,682,0.030317848410757946,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.04697735763876476
Fairfield,17704,464,68,532,0.030049706281066426,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.04724549976845628
Bonnyrigg Heights - Bonnyrigg,15980,431,49,480,0.030037546933667083,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.047257659115855624
Bradbury - Wedderburn,18962,454,112,566,0.02984917202826706,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.04744603402125565
Botany,10822,261,60,321,0.029661800036961745,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.04763340601256097
Cremorne - Cammeray,19084,469,97,566,0.029658352546635926,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.04763685350288678
Newtown - Camperdown - Darlington,24840,565,168,733,0.029508856682769726,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.04778634936675298
Mount Annan - Currans Hill,28576,659,168,827,0.02894036954087346,Camden,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.048354836508649246
Fairfield - East,15514,374,66,440,0.028361479953590306,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.048933726095932405
Sutherland - Kirrawee,20874,500,91,591,0.028312733544121876,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.04898247250540083
Jamisontown - South Penrith,17288,407,78,485,0.028054141601110597,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.049241064448412114
Condell Park,11305,270,47,317,0.028040689960194605,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.049254516089328106
Glebe - Forest Lodge,19614,448,92,540,0.027531355154481494,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.04976385089504122
Chester Hill - Sefton,18461,432,73,505,0.027354964519798495,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.04994024152972422
Miranda - Yowie Bay,18230,429,67,496,0.027207899067471203,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.05008730698205151
Surry Hills,16416,355,78,433,0.026376705653021443,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.05091850039650127
Drummoyne - Rodd Point,18326,348,110,458,0.024991814907781296,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.052303391141741415
Elderslie - Harrington Park,20980,406,115,521,0.024833174451858914,Camden,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.0524620315976638
Randwick - North,16874,327,77,404,0.023942159535379873,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.05335304651414284
Maroubra - West,10195,202,42,244,0.023933300637567434,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.05336190541195528
Oatley - Hurstville Grove,12614,244,57,301,0.02386237513873474,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.05343283091078797
Darlinghurst,11317,227,43,270,0.023857912874436688,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.053437293175086026
Erskineville - Alexandria,16236,268,110,378,0.02328159645232816,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.05401360959719455
Waterloo - Beaconsfield,33061,651,116,767,0.02319954024379178,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.05409566580573093
Petersham - Stanmore,20234,340,118,458,0.02263516852821983,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.054660037521302884
Mosman,28476,497,147,644,0.02261553588987217,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.05467967015965054
Willoughby - Castle Cove - Northbridge,25463,418,150,568,0.02230687664454306,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.05498832940497965
Malabar - La Perouse - Chifley,24036,421,105,526,0.021883840905308705,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.055411365144214006
Caringbah,11764,220,36,256,0.0217613056783407,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.05553390037118201
Hunters Hill - Woolwich,10341,168,53,221,0.021371240692389517,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.05592396535713319
Peakhurst - Lugarno,17937,321,61,382,0.021296760885320846,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.05599844516420187
Five Dock - Abbotsford,20440,347,87,434,0.021232876712328767,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.05606232933719395
Leichhardt - Annandale,26388,412,146,558,0.021145975443383355,Leichhardt,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.056149230606139355
Cambridge Park,15644,280,50,330,0.021094349271286117,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.056200856778236594
Woollahra,7686,116,46,162,0.02107728337236534,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.056217922677157375
Manly Vale - Allambie Heights,16870,283,72,355,0.02104327208061648,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.05625193396890623
Lilyfield - Rozelle,13991,204,88,292,0.020870559645486383,Leichhardt,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.05642464640403633
Illawong - Alfords Point,10366,186,29,215,0.020740883658113062,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.056554322391409645
Kingsgrove (South) - Bardwell Park,12615,218,38,256,0.020293301625049543,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.05700190442447317
Potts Point - Woolloomooloo,21200,351,78,429,0.020235849056603774,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.05705935699291893
Sans Souci - Ramsgate,15976,247,74,321,0.020092638958437655,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.05720256709108505
Edensor Park,9772,159,37,196,0.02005730659025788,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.05723789945926483
Maroubra - South,10681,171,42,213,0.01994195300065537,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.05735325304886734
Bass Hill - Georges Hall,21834,369,61,430,0.0196940551433544,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.05760115090616831
Smithfield - Wetherill Park,18045,301,52,353,0.019562205597118316,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.0577330004524044
Berowra - Brooklyn - Cowan,11699,173,52,225,0.019232413026754422,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.05806279302276829
Balmain,15686,194,83,277,0.017659059033533087,Leichhardt,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.05963614701598963
Menai - Lucas Heights - Woronora,21128,280,75,355,0.016802347595607725,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.060492858453914986
Bondi Junction - Waverly,16853,189,94,283,0.016792262505191953,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06050294354433076
Kingsgrove (North) - Earlwood,23679,317,74,391,0.016512521643650493,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.060782684405872214
Forestville - Killarney Heights,12796,152,58,210,0.016411378555798686,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06088382749372402
Paddington - Moore Park,15171,167,81,248,0.016346977786566474,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06094822826295623
Greenfield Park - Prairiewood,8336,106,29,135,0.016194817658349327,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.061100388391173384
Freshwater - Brookvale,20978,240,98,338,0.016112117456382878,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06118308859313983
Horsley Park - Kemps Creek,4426,67,4,71,0.016041572525982827,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06125363352353988
Coogee - Clovelly,25455,251,145,396,0.015556865055981143,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06173834099354157
Bossley Park - Abbotsbury,18834,243,44,287,0.015238398640756079,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06205680740876663
Double Bay - Bellevue Hill,24870,236,140,376,0.015118616807398472,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06217658924212424
Sylvania - Taren Point,15940,196,41,237,0.014868255959849435,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06242695008967328
Maroubra - North,9812,114,31,145,0.0147778230737872,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06251738297573552
Balgowlah - Clontarf - Seaforth,20188,194,97,291,0.014414503665543888,Manly,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06288070238397882
Rose Bay - Vaucluse - Watsons Bay,11844,129,41,170,0.014353259034110099,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06294194701541261
Dover Heights,10830,107,48,155,0.014312096029547553,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06298311001997516
Frenchs Forest - Belrose,25171,270,80,350,0.013904890548647252,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06339031550087545
Austral - Greendale,8918,95,28,123,0.01379233011886073,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06350287593066198
Emu Plains - Leonay,14223,133,57,190,0.013358644449131688,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.06393656160039102
Oyster Bay - Como - Jannali,21254,193,87,280,0.013173990778206456,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06412121527131626
Cabramatta West - Mount Pritchard,17188,167,51,218,0.012683267395857576,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06461193865366513
Bondi - Tamarama - Bronte,18401,150,80,230,0.012499320689092984,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06479588536042973
Katoomba - Leura,13222,125,40,165,0.012479201331114808,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.0648160047184079
Woronora Heights,3646,27,15,42,0.01151947339550192,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06577573265402079
Warriewood - Mona Vale,24134,198,78,276,0.011436148172702412,Pittwater,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.0658590578768203
Cromer,7485,64,21,85,0.011356045424181697,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06593916062534101
St Johns Park - Wakeley,10866,94,29,123,0.01131971286581999,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06597549318370272
Fairfield - West,19088,185,28,213,0.011158843252305112,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.0661363627972176
Beacon Hill - Narraweena,13882,122,30,152,0.010949430917735196,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06634577513178752
Gymea - Grays Point,17479,122,68,190,0.010870187081640826,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06642501896788189
Bondi Beach - North Bondi,20729,141,77,218,0.010516667470693231,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.06677853857882948
Cabramatta - Lansvale,24708,201,48,249,0.01007770762506071,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06721749842446201
Wentworth Falls,6077,35,24,59,0.009708737864077669,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.06758646818544504
Windsor - Bligh Park,15330,89,58,147,0.009589041095890411,Richmond - Windsor,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.0677061649536323
Narrabeen - Collaroy,24771,181,52,233,0.009406160429534537,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06788904561998818
Canley Vale - Canley Heights,20819,154,41,195,0.009366444113550122,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.06792876193597258
Engadine,16992,101,55,156,0.009180790960451978,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06811441508907073
Caringbah South,12058,57,53,110,0.00912257422458119,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06817263182494152
Richmond - Clarendon,13839,87,36,123,0.008887925428137872,Richmond - Windsor,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.06840728062138483
Blaxland - Warrimoo - Lapstone,18936,84,83,167,0.008819180397127166,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.06847602565239555
Yarramundi - Londonderry,7376,46,19,65,0.00881236442516269,Richmond - Windsor,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.06848284162436002
Newport - Bilgola,13186,69,38,107,0.008114667071136053,Pittwater,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06918053897838666
Galston - Laughtondale,5210,20,22,42,0.008061420345489444,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.06923378570403327
Springwood - Winmalee,21633,85,86,171,0.007904590209402302,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.0693906158401204
Lawson - Hazelbrook - Linden,11253,41,46,87,0.007731271660890429,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.06956393438863229
Loftus - Yarrawarrah,7247,36,20,56,0.007727335449151373,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.06956787060037134
Manly - Fairlight,21704,97,68,165,0.007602285293033542,Manly,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.06969292075648917
Douglas Park - Appin,9625,28,43,71,0.007376623376623376,Wollondilly,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.06991858267289934
Pitt Town - McGraths Hill,10531,53,24,77,0.007311746272908556,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.06998345977661416
Cronulla - Kurnell - Bundeena,23487,100,69,169,0.007195469834376463,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.07009973621514624
Woolaware - Burraneer,7728,29,24,53,0.006858178053830228,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.07043702799569249
Avalon - Palm Beach,12374,16,63,79,0.006384354291255859,Pittwater,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.07091085175826685
Terrey Hills - Duffys Forest,3648,19,3,22,0.006030701754385965,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.07126450429513674
Camden - Ellis Lane,12963,48,30,78,0.006017125665355242,Camden,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.07127808038416747
The Oaks - Oakdale,8997,39,11,50,0.005557408024897188,Wollondilly,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.07173779802462552
Bayview - Elanora Heights,10745,38,20,58,0.0053978594695207075,Pittwater,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.071897346580002
Picton - Tahmoor - Buxton,16786,52,36,88,0.005242463958060288,Wollondilly,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.07205274209146242
Heathcote - Waterfall,6504,20,14,34,0.0052275522755227555,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.07206765377399996
Blackheath - Megalong Valley,5560,13,15,28,0.005035971223021582,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.07225923482650112
Bargo,5740,25,3,28,0.004878048780487805,Wollondilly,Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.0724171572690349
Kurrajong Heights - Ebenezer,21898,71,31,102,0.004657959631016531,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.07263724641850618
Bilpin - Colo - St Albans,2691,9,0,9,0.0033444816053511705,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.07395072444417154
Warragamba - Silverdale,5195,8,9,17,0.0032723772858517805,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.07402282876367093
Lilli Pilli - Port Hacking - Dolans Bay,3149,5,4,9,0.0028580501746586218,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.07729520604952271,-0.07443715587486409
